sentence,original annotation,claude annotation,literal example,"metaphorical to literal
appropriateness","original annotation
appropriateness",
right-wing party,VERTICALITY,"SCALE, PART-WHOLE, OBJECT",The right wing of the bird,7,1,original annotation?
left-wing party,VERTICALITY,"SCALE, OBJECT, PART-WHOLE",The left wing of the bird,7,1,
No known spoken language uses the lateral (left–right) axis for time.,VERTICALITY,"SCALE, SOURCE_PATH_GOAL, OBJECT",No known physical object uses the lateral (left–right) axis for measurement.,3,1,
the right answer,VERTICALITY,"SCALE, OBJECT, VERTICALITY",the correct solution,3,1,
my right-hand man,VERTICALITY,"PART-WHOLE, SUPPORT, LINK, OBJECT",The right hand is part of the body,3,1,
out in left field,VERTICALITY,"CONTAINMENT, CENTER-PERIPHERY, SOURCE_PATH_GOAL",The player is standing in the left field of the baseball diamond.,4,1,
two left feet,VERTICALITY,"PART-WHOLE, OBJECT",The person has two feet on the left side of their body.,3,1,
The number of books printed each year is going up.,VERTICALITY,"VERTICALITY, SCALE, SOURCE_PATH_GOAL",The elevator is going up to the top floor.,7,7,
My income rose last year.,VERTICALITY,"VERTICALITY, SCALE, SOURCE_PATH_GOAL",The water level rose in the river.,7,7,
The number of errors made is incredibly low.,VERTICALITY,"SCALE, VERTICALITY",The water level in the tank is very low.,7,7,confronto con SCALE
He is underage.,VERTICALITY,"SCALE, CONTAINMENT",He is below the height requirement.,6,6,
The number of books printed each year keeps going up.,VERTICALITY,"VERTICALITY, SCALE, SOURCE_PATH_GOAL",The elevator is going up to the top floor.,6,7,
His draft number is high.,VERTICALITY,"VERTICALITY, SCALE",The building's height is high.,4,7,
My income rose last year.,VERTICALITY,"VERTICALITY, SCALE, SOURCE_PATH_GOAL",The water level rose in the river.,7,7,
The amount of artistic activity in this state has gone down in the past year.,VERTICALITY,"SCALE, VERTICALITY, CONTAINMENT, SOURCE_PATH_GOAL",The water level in the reservoir has decreased over the past year.,7,7,
The number of errors he made is incredibly low.,VERTICALITY,"SCALE, VERTICALITY",The water level in the tank is very low.,7,7,
His income fell last year.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, SCALE",The ball fell from the table to the floor.,7,7,
He is underage.,VERTICALITY,"SCALE, CONTAINMENT",He is below the height requirement.,6,6,
"If you’re too hot, turn the heat down.",VERTICALITY,"SCALE, VERTICALITY, FORCE, OBJECT","If the temperature is high, lower the thermostat setting.",6,7,
An IQ of over 150.,VERTICALITY,"SCALE, VERTICALITY",A height of over 150 centimeters.,7,7,
"Speak up, please.",VERTICALITY,"VERTICALITY, SCALE, FORCE","Raise your voice volume, please.",4,7,
"Keep your voice down, please.",VERTICALITY,"VERTICALITY, SCALE, FORCE","Lower the volume of the speaker, please.",4,7,
Prices are high.,VERTICALITY,"VERTICALITY, SCALE",The building is tall.,7,7,
Europeans are now complaining of high American interest rates.,VERTICALITY,"SCALE, VERTICALITY, FORCE",People are now speaking loudly about increased numerical values.,3,4,
Home ownership involves higher indebtedness than renting a house does.,VERTICALITY,"SCALE, CONTAINMENT, OBJECT",The box contains more items than the bag does.,7,1,
The number of people living in poverty went up.,VERTICALITY,"VERTICALITY, SCALE, SOURCE_PATH_GOAL",The elevator went up to the top floor.,7,7,ieeee
