sentence,original annotation,claude annotation,literal example,"metaphorical to literal
appropriateness","original annotation
appropriateness",notes
right-wing party,VERTICALITY,"SCALE, PART-WHOLE, OBJECT",The right wing of the bird,7,1,original annotation?
left-wing party,VERTICALITY,"SCALE, OBJECT, PART-WHOLE",The left wing of the bird,7,1,
No known spoken language uses the lateral (left–right) axis for time.,VERTICALITY,"SCALE, SOURCE_PATH_GOAL, OBJECT",No known physical object uses the lateral (left–right) axis for measurement.,3,1,
the right answer,VERTICALITY,"SCALE, OBJECT, VERTICALITY",the correct solution,3,1,
my right-hand man,VERTICALITY,"PART-WHOLE, SUPPORT, LINK, OBJECT",The right hand is part of the body,3,1,
out in left field,VERTICALITY,"CONTAINMENT, CENTER-PERIPHERY, SOURCE_PATH_GOAL",The player is standing in the left field of the baseball diamond.,4,1,
two left feet,VERTICALITY,"PART-WHOLE, OBJECT",The person has two feet on the left side of their body.,3,1,
His draft number is high.,VERTICALITY,"VERTICALITY, SCALE",The building's height is high.,4,7,
"Speak up, please.",VERTICALITY,"VERTICALITY, SCALE, FORCE","Raise your voice volume, please.",4,7,
"Keep your voice down, please.",VERTICALITY,"VERTICALITY, SCALE, FORCE","Lower the volume of the speaker, please.",4,7,
Europeans are now complaining of high American interest rates.,VERTICALITY,"SCALE, VERTICALITY, FORCE",People are now speaking loudly about increased numerical values.,3,4,
Home ownership involves higher indebtedness than renting a house does.,VERTICALITY,"SCALE, CONTAINMENT, OBJECT",The box contains more items than the bag does.,7,1,
He has an edge over us.,VERTICALITY,"VERTICALITY, FORCE, SCALE",The knife has a sharp edge above the cutting board.,5,7,
He has an edge over us.,VERTICALITY,"VERTICALITY, FORCE, SCALE",The knife has a sharp edge above the cutting board.,5,7,
You can’t get a single joke out of him.,SUBSTANCE,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE",You can't remove a single object from this container.,7,3,
I couldn’t do much sprinting until the end.,SUBSTANCE,"SOURCE_PATH_GOAL, SCALE, FORCE",I couldn't run fast until I reached the finish line.,5,2,
combined anger,SUBSTANCE,"SUBSTANCE, FORCE, CONTAINMENT",combined ingredients,5,7,
Mrs Margaret Thatcher has struck three notes since the Communist world began to disintegrate.,SPLITTING,"FORCE, OBJECT, SPLITTING, SCALE",The musician has played three notes since the concert began to end.,2,7,
"Sometimes truth may be suppressed for a long time but while it is imprisoned it gathers to itself more and more power so that on the day that it is finally released it explodes, blowing everything asunder.",SPLITTING,"CONTAINMENT, FORCE, SUBSTANCE, SCALE, SOURCE_PATH_GOAL, SPLITTING","Sometimes a pressurized gas may be contained for a long time but while it is compressed it accumulates more and more pressure so that on the day that it is finally released it expands rapidly, dispersing in all directions.",7,4,
"The hallways are filled with the sounds of middle school students, primarily eighth graders, dissecting the second presidential debate from the evening before.",SPLITTING,"CONTAINMENT, SUBSTANCE, SPLITTING, OBJECT","The container is filled with water, primarily from the tap, flowing from the faucet opened the evening before.",3,7,
Coming up in the weeks ahead …,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, VERTICALITY, CONTAINMENT",Walking up the stairs in the building ahead …,6,5,
